的	〔白勹丶&nbsp;·&nbsp;unid〕
𮇾	〔厶儿夊㐄&nbsp;·&nbsp;kphv〕
𮇿	〔米口口⺗&nbsp;·&nbsp;pddh〕
𮈀	〔齒殳米&nbsp;·&nbsp;lrpm〕
𮈁	〔糸山&nbsp;·&nbsp;ivs〕
𮈂	〔糸阝&nbsp;·&nbsp;ite〕
𮈃	〔糸井&nbsp;·&nbsp;iqj〕
𮈄	〔糸攵&nbsp;·&nbsp;ihp〕
𮈅	〔糸勹乂&nbsp;·&nbsp;inbi〕
𮈆	〔糸𠂇口&nbsp;·&nbsp;indk〕
𮈇	〔糸𠂇工&nbsp;·&nbsp;inug〕
𮈈	〔糸干丷&nbsp;·&nbsp;iehb〕
𮈉	〔糸用&nbsp;·&nbsp;ity〕
𮈊	〔糸心丿&nbsp;·&nbsp;ihtp〕
𮈋	〔大二ㄅ糸&nbsp;·&nbsp;mmai〕
𮈌	〔糸一&nbsp;·&nbsp;ifbb〕
𮈍	〔龷八糸&nbsp;·&nbsp;lhis〕
𮈎	〔糸日十&nbsp;·&nbsp;ions〕
𮈏	〔糸&nbsp;·&nbsp;his〕
𮈐	〔糸厶𠂇又&nbsp;·&nbsp;iknr〕
𮈑	〔龶刀丶糸&nbsp;·&nbsp;apii〕
𮈒	〔糸古儿&nbsp;·&nbsp;icpe〕
𮈓	〔𠂇口冖糸&nbsp;·&nbsp;ndwi〕
𮈔	〔糸丿糸&nbsp;·&nbsp;itis〕
𮈕	〔糸䒑止&nbsp;·&nbsp;ihsi〕
𮈖	〔十冖厶糸&nbsp;·&nbsp;nwki〕
𮈗	〔糸囗古&nbsp;·&nbsp;ircg〕
𮈘	〔糸罒亡&nbsp;·&nbsp;iyfw〕
𮈙	〔糸⺿冖丁&nbsp;·&nbsp;ilwa〕
𮈚	〔糸矢口&nbsp;·&nbsp;iodk〕
𮈛	〔生刀丶糸&nbsp;·&nbsp;lpii〕
𮈜	〔糸勹米&nbsp;·&nbsp;inpm〕
𮈝	〔糸䒑业&nbsp;·&nbsp;ihcy〕
𮈞	〔糸广一止&nbsp;·&nbsp;ixfs〕
𮈟	〔糸凵米&nbsp;·&nbsp;impm〕
𮈠	〔糸穴夕&nbsp;·&nbsp;ielx〕
𮈡	〔糸氺&nbsp;·&nbsp;ibks〕
𮈢	〔糸弓厶小&nbsp;·&nbsp;ibky〕
𮈣	〔糸罒止&nbsp;·&nbsp;iysi〕
𮈤	〔糸一止攵&nbsp;·&nbsp;ifsh〕
𮈥	〔糸不一止&nbsp;·&nbsp;icfs〕
𮈦	〔糸十龷夂&nbsp;·&nbsp;inlh〕
𮈧	〔糸匸日女&nbsp;·&nbsp;inob〕
𮈨	〔糸口丨月&nbsp;·&nbsp;idgv〕
𮈩	〔糸口虫&nbsp;·&nbsp;idcc〕
𮈪	〔糸山而&nbsp;·&nbsp;ivle〕
𮈫	〔糸罒方&nbsp;·&nbsp;iylf〕
𮈬	〔糸日一&nbsp;·&nbsp;iofe〕
𮈭	〔糸彡耳&nbsp;·&nbsp;ieqe〕
𮈮	〔糸⺈彐心&nbsp;·&nbsp;ixbh〕
𮈯	〔糸卯心&nbsp;·&nbsp;ibhx〕
𮈰	〔糸⺍冖木&nbsp;·&nbsp;ikwe〕
𮈱	〔糸卜日丁&nbsp;·&nbsp;iyoa〕
𮈲	〔糸小貝&nbsp;·&nbsp;iyob〕
𮈳	〔糸隹又&nbsp;·&nbsp;iury〕
𮈴	〔糸䒑廾辶&nbsp;·&nbsp;ihlu〕
𮈵	〔糸米辶&nbsp;·&nbsp;ipuc〕
𮈶	〔糸宀丿廴&nbsp;·&nbsp;iwtu〕
𮈷	〔糸丶一口&nbsp;·&nbsp;iifd〕
𮈸	〔糸巛貝&nbsp;·&nbsp;ioob〕
𮈹	〔糸一氺辶&nbsp;·&nbsp;ifku〕
𮈺	〔糸虍丿&nbsp;·&nbsp;iztn〕
𮈻	〔糸口十口&nbsp;·&nbsp;idnd〕
𮈼	〔糸巾&nbsp;·&nbsp;isrj〕
𮈽	〔糸宀大可&nbsp;·&nbsp;iwmz〕
𮈾	〔糸穴厶心&nbsp;·&nbsp;iekh〕
𮈿	〔糸丷夫目&nbsp;·&nbsp;ihhq〕
𮉀	〔糸冂口&nbsp;·&nbsp;iimd〕
𮉁	〔糸宀爫木&nbsp;·&nbsp;iwye〕
𮉂	〔糸聿日一&nbsp;·&nbsp;ibof〕
𮉃	〔糸幺幺丱&nbsp;·&nbsp;iiil〕
𮉄	〔糸丰刀糸&nbsp;·&nbsp;iapi〕
𮉅	〔糸兔辶&nbsp;·&nbsp;iwuc〕
𮉆	〔糸爪丨夂&nbsp;·&nbsp;iygh〕
𮉇	〔糸⺍冖口&nbsp;·&nbsp;ikwd〕
𮉈	〔糸䒑人&nbsp;·&nbsp;ihbj〕
𮉉	〔糸氺辶&nbsp;·&nbsp;ibku〕
𮉊	〔糸艹匚日&nbsp;·&nbsp;ilno〕
𮉋	〔糸口耳戈&nbsp;·&nbsp;idqp〕
𮉌	〔糸⺮丿廴&nbsp;·&nbsp;irtu〕
𮉍	〔糸⺈宀八&nbsp;·&nbsp;ixwh〕
𮉎	〔糸亻丨糸&nbsp;·&nbsp;ijgi〕
𮉏	〔糸韋辶&nbsp;·&nbsp;iguc〕
𮉐	〔糸厂黑&nbsp;·&nbsp;ixph〕
𮉑	〔糸田木衣&nbsp;·&nbsp;iqet〕
𮉒	〔糸宀心虫&nbsp;·&nbsp;iwhc〕
𮉓	〔糸覀大辶&nbsp;·&nbsp;ivmu〕
𮉔	〔艹𠂇口糸&nbsp;·&nbsp;lndi〕
𮉕	〔糸齿&nbsp;·&nbsp;ilc〕
𮉖	〔糸隹冂口&nbsp;·&nbsp;iumd〕
𮉗	〔糸田皿&nbsp;·&nbsp;izqa〕
𮉘	〔糸言耂日&nbsp;·&nbsp;isqo〕
𮉙	〔糸尸氺辶&nbsp;·&nbsp;icku〕
𮉚	〔糸門束丷&nbsp;·&nbsp;iaxh〕
𮉛	〔糸目目隹&nbsp;·&nbsp;iqqu〕
𮉜	〔糸爫罒寸&nbsp;·&nbsp;iyyk〕
𮉝	〔糸自穴辶&nbsp;·&nbsp;ioeu〕
𮉞	〔糸亠㐅隹&nbsp;·&nbsp;izbu〕
𮉟	〔糸一冂鹿&nbsp;·&nbsp;ifmx〕
𮉠	〔糸九&nbsp;·&nbsp;ikj〕
𮉡	〔糸⺊尸&nbsp;·&nbsp;iycs〕
𮉢	〔糸丿夫&nbsp;·&nbsp;ithf〕
𮉣	〔糸乍&nbsp;·&nbsp;iwa〕
𮉤	〔糸土土&nbsp;·&nbsp;iggt〕
𮉥	〔糸歹刂&nbsp;·&nbsp;igpd〕
𮉦	〔糸冂乂乂&nbsp;·&nbsp;imbb〕
𮉩	〔糸足&nbsp;·&nbsp;ipu〕
𮉭	〔糸目&nbsp;·&nbsp;icqm〕
𮉮	〔糸山隹&nbsp;·&nbsp;ivui〕
𮉰	〔𠂉龷山&nbsp;·&nbsp;elvs〕
𮉱	〔缶夫&nbsp;·&nbsp;ahf〕
𮉲	〔缶皮&nbsp;·&nbsp;arp〕
𮉳	〔缶一日&nbsp;·&nbsp;afob〕
𮉴	〔缶人人土&nbsp;·&nbsp;ajjg〕
𮉵	〔缶丶不口&nbsp;·&nbsp;aicd〕
𮉶	〔丷酉缶&nbsp;·&nbsp;hyaf〕
𮉷	〔缶艹厂&nbsp;·&nbsp;alxt〕
𮉸	〔缶𠂉一隹&nbsp;·&nbsp;aefu〕
𮉹	〔缶亻艹&nbsp;·&nbsp;ajlt〕
𮉺	〔⺽一ㄅ缶&nbsp;·&nbsp;pfaa〕
𮉻	〔缶人厶&nbsp;·&nbsp;anjk〕
𮉼	〔丿冂&nbsp;·&nbsp;tmus〕
𮉽	〔罒弋&nbsp;·&nbsp;ypi〕
𮉾	〔冖八㐄&nbsp;·&nbsp;whvk〕
𮉿	〔罒犬&nbsp;·&nbsp;ymq〕
𮊀	〔亽龴罒&nbsp;·&nbsp;jkys〕
𮊁	〔冂人古&nbsp;·&nbsp;mjcg〕
𮊂	〔罒罒&nbsp;·&nbsp;yys〕
𮊃	〔罒人彡&nbsp;·&nbsp;yjes〕
𮊄	〔冂㐅民&nbsp;·&nbsp;mbdm〕
𮊅	〔罒戊㇆&nbsp;·&nbsp;ynae〕
𮊆	〔𠂉罒𠂇丶&nbsp;·&nbsp;eyni〕
𮊇	〔冂人水日&nbsp;·&nbsp;mjko〕
𮊈	〔罒氵丶王&nbsp;·&nbsp;ykin〕
𮊉	〔罒月&nbsp;·&nbsp;ycvy〕
𮊊	〔冂人巾&nbsp;·&nbsp;mjir〕
𮊋	〔罒冖車&nbsp;·&nbsp;ywyc〕
𮊌	〔冂乂乂亡&nbsp;·&nbsp;mbbf〕
𮊍	〔罒十&nbsp;·&nbsp;ynqh〕
𮊎	〔冂㐅日巾&nbsp;·&nbsp;mbor〕
𮊏	〔冖八瓜瓜&nbsp;·&nbsp;whyy〕
𮊐	〔罒羊毛&nbsp;·&nbsp;ygvm〕
𮊑	〔罒氵爫子&nbsp;·&nbsp;ykyh〕
𮊒	〔罒厶⺝丿&nbsp;·&nbsp;ykvt〕
𮊓	〔冂㐅厶匕&nbsp;·&nbsp;mbkv〕
𮊔	〔冂㐅忄隹&nbsp;·&nbsp;mbhu〕
𮊕	〔罒羽一日&nbsp;·&nbsp;yzfo〕
𮊖	〔冂乂乂火&nbsp;·&nbsp;mbbc〕
𮊗	〔冂八巛木&nbsp;·&nbsp;mhoe〕
𮊘	〔冂乂乂寸&nbsp;·&nbsp;mbbk〕
𮊙	〔罒羽白&nbsp;·&nbsp;yzub〕
𮊚	〔罒田&nbsp;·&nbsp;ybqt〕
𮊛	〔罒火火毛&nbsp;·&nbsp;yccv〕
𮊜	〔冂㐅冖力&nbsp;·&nbsp;mbws〕
𮊝	〔罒厂火毛&nbsp;·&nbsp;yxcv〕
𮊞	〔冂人齐&nbsp;·&nbsp;mjqq〕
𮊟	〔罒糹口貝&nbsp;·&nbsp;yido〕
𮊠	〔罒馬大可&nbsp;·&nbsp;ynmz〕
𮊡	〔罒革鳥&nbsp;·&nbsp;ytxn〕
𮊢	〔羊夂&nbsp;·&nbsp;ghi〕
𮊣	〔羊㇏&nbsp;·&nbsp;gxid〕
𮊤	〔亡羊&nbsp;·&nbsp;fgy〕
𮊥	〔羊戊&nbsp;·&nbsp;gnu〕
𮊦	〔羊一儿厶&nbsp;·&nbsp;gfpk〕
𮊧	〔羊勹一彑&nbsp;·&nbsp;gnfb〕
𮊨	〔⺶㇏&nbsp;·&nbsp;gipb〕
𮊩	〔士羊&nbsp;·&nbsp;gcgy〕
𮊪	〔十日十羊&nbsp;·&nbsp;nong〕
𮊫	〔羊禾戈&nbsp;·&nbsp;gxpg〕
𮊬	〔羊侖&nbsp;·&nbsp;gjl〕
𮊭	〔羊广氏丶&nbsp;·&nbsp;gxbi〕
𮊮	〔⺷大光&nbsp;·&nbsp;gmmg〕
𮊯	〔丁羊&nbsp;·&nbsp;gagy〕
𮊰	〔⺷灬冫欠&nbsp;·&nbsp;gcwe〕
𮊱	〔⺷灬羊&nbsp;·&nbsp;gcgy〕
𮊲	〔⺷灬羊&nbsp;·&nbsp;gcgy〕
𮊳	〔羊自冫十&nbsp;·&nbsp;gown&nbsp;gokn〕
𮊴	〔羊面毛&nbsp;·&nbsp;gbvm〕
𮊵	〔亡罒月丶&nbsp;·&nbsp;fyvi〕
𮊶	〔各⺶㇏艮&nbsp;·&nbsp;sgii〕
𮊷	〔乚二罒&nbsp;·&nbsp;amyu〕
𮊸	〔彐彐日&nbsp;·&nbsp;bbor〕
𮊹	〔口丨羽&nbsp;·&nbsp;dgzv〕
𮊺	〔八刀羽&nbsp;·&nbsp;hpzv〕
𮊻	〔羽攵&nbsp;·&nbsp;zhp〕
𮊼	〔民羽&nbsp;·&nbsp;dzv〕
𮊽	〔羽戊㇆&nbsp;·&nbsp;znae〕
𮊾	〔羽龷八&nbsp;·&nbsp;zlhb〕
𮊿	〔彐彐人⺗&nbsp;·&nbsp;bbjh〕
𮋀	〔彐彐人𣱱&nbsp;·&nbsp;bbjk〕
𮋁	〔羽亼口&nbsp;·&nbsp;zjdk〕
𮋂	〔羽六乂&nbsp;·&nbsp;zabi〕
𮋃	〔古儿羽&nbsp;·&nbsp;cpzv〕
𮋄	〔大人人羽&nbsp;·&nbsp;mjjz〕
𮋅	〔臣又羽&nbsp;·&nbsp;qrzv〕
𮋆	〔木日羽&nbsp;·&nbsp;eozv〕
𮋇	〔戈戈羽&nbsp;·&nbsp;ppzv〕
𮋈	〔子羽&nbsp;·&nbsp;ghzv〕
𮋉	〔白丰羽&nbsp;·&nbsp;uazv〕
𮋊	〔⺈厂矢羽&nbsp;·&nbsp;xxoz〕
𮋋	〔白王羽&nbsp;·&nbsp;unzv〕
𮋌	〔羽宀一一&nbsp;·&nbsp;zwff〕
𮋍	〔十田羽&nbsp;·&nbsp;nqkz〕
𮋎	〔羽鬲&nbsp;·&nbsp;zng〕
𮋏	〔罒一水羽&nbsp;·&nbsp;yfkz〕
𮋐	〔宀羽&nbsp;·&nbsp;wqhz〕
𮋑	〔幺幺匸羽&nbsp;·&nbsp;iinz〕
𮋒	〔米田羽&nbsp;·&nbsp;pqzv〕
𮋓	〔羽幺幺丱&nbsp;·&nbsp;ziil〕
𮋔	〔⻗亽龴羽&nbsp;·&nbsp;tjkz〕
𮋕	〔羽𦘒&nbsp;·&nbsp;zbaa〕
𮋖	〔十日十羽&nbsp;·&nbsp;nonz〕
𮋗	〔⻊羽&nbsp;·&nbsp;pboz〕
𮋘	〔夫夫貝羽&nbsp;·&nbsp;hhoz〕
𮋙	〔十日十羽&nbsp;·&nbsp;nonz〕
𮋚	〔屮凵光隹&nbsp;·&nbsp;smmu〕
𮋛	〔老可&nbsp;·&nbsp;qzk〕
𮋜	〔老士口&nbsp;·&nbsp;qgdk〕
𮋝	〔老⺊一日&nbsp;·&nbsp;qyfo〕
𮋞	〔老口未&nbsp;·&nbsp;qdaw〕
𮋟	〔山而丿又&nbsp;·&nbsp;vltr〕
𮋠	〔氵而&nbsp;·&nbsp;kbol〕
𮋡	〔齐而&nbsp;·&nbsp;qle〕
𮋢	〔而而小儿&nbsp;·&nbsp;llyp〕
𮋣	〔耒乃&nbsp;·&nbsp;avn〕
𮋤	〔耒八刀&nbsp;·&nbsp;ahpd〕
𮋥	〔耒一木&nbsp;·&nbsp;afem〕
𮋦	〔耒目&nbsp;·&nbsp;aqm〕
𮋧	〔耒丷口&nbsp;·&nbsp;ahdk〕
𮋨	〔耒老&nbsp;·&nbsp;aql〕
𮋩	〔耒宀子&nbsp;·&nbsp;awhi〕
𮋪	〔耒爫女&nbsp;·&nbsp;aybn〕
𮋫	〔耒井艹力&nbsp;·&nbsp;aqls〕
𮋬	〔耳丶乂&nbsp;·&nbsp;qibi〕
𮋭	〔耳也&nbsp;·&nbsp;qey〕
𮋮	〔耳大丶&nbsp;·&nbsp;qmid〕
𮋯	〔耳尸匕&nbsp;·&nbsp;qcvb〕
𮋰	〔耳厶儿夊&nbsp;·&nbsp;qkph〕
𮋱	〔耳勹口&nbsp;·&nbsp;qned〕
𮋲	〔耳宀二儿&nbsp;·&nbsp;qwmp〕
𮋳	〔耳木人人&nbsp;·&nbsp;qejj〕
𮋴	〔耳目弓&nbsp;·&nbsp;qqbg〕
𮋵	〔耳立女&nbsp;·&nbsp;qibn〕
𮋶	〔耳廿㇗木&nbsp;·&nbsp;qlae〕
𮋷	〔耳犭虫&nbsp;·&nbsp;qmcc〕
𮋸	〔耳亠幺斗&nbsp;·&nbsp;qzij〕
𮋹	〔彳丷疋耳&nbsp;·&nbsp;whtq〕
𮋺	〔匸矢殳耳&nbsp;·&nbsp;norq〕
𮋻	〔士口耳&nbsp;·&nbsp;gcdq〕
𮋼	〔耳耳又&nbsp;·&nbsp;qqrk〕
𮋽	〔口車斤耳&nbsp;·&nbsp;dytq〕
𮋾	〔壴山夂耳&nbsp;·&nbsp;hvhq〕
𮋿	〔耳士罒貝&nbsp;·&nbsp;qgyo〕
𮌀	〔耳耳耳耳&nbsp;·&nbsp;qqqq〕
𮌁	〔聿丶&nbsp;·&nbsp;bid〕
𮌂	〔聿儿&nbsp;·&nbsp;bpe〕
𮌃	〔聿一冂一&nbsp;·&nbsp;bfmf〕
𮌄	〔巾二丨&nbsp;·&nbsp;brmg〕
𮌅	〔㇗聿&nbsp;·&nbsp;zhab〕
𮌆	〔巾一丨&nbsp;·&nbsp;brfg〕
𮌇	〔门ス&nbsp;·&nbsp;ary〕
𮌈	〔⺊一月&nbsp;·&nbsp;yfvy〕
𮌉	〔夕冂人人&nbsp;·&nbsp;lmjj〕
𮌊	〔冂人人也&nbsp;·&nbsp;mjje〕
𮌋	〔月丶又丶&nbsp;·&nbsp;viri〕
𮌌	〔月业&nbsp;·&nbsp;vcy〕
𮌍	〔月勹亾&nbsp;·&nbsp;vnfw〕
𮌎	〔勹亾月&nbsp;·&nbsp;nfvy〕
𮌏	〔月八弓&nbsp;·&nbsp;vhbg〕
𮌐	〔丷夫月&nbsp;·&nbsp;hhvy〕
𮌑	〔冂人人亥&nbsp;·&nbsp;mjjk〕
𮌒	〔月七木&nbsp;·&nbsp;vrem〕
𮌓	〔月未丶&nbsp;·&nbsp;vaid〕
𮌔	〔月&nbsp;·&nbsp;gvy〕
𮌕	〔冂人人夂&nbsp;·&nbsp;mjjh〕
𮌖	〔月⺊一日&nbsp;·&nbsp;vyfo〕
𮌗	〔月山匕&nbsp;·&nbsp;vvvv〕
𮌘	〔月足&nbsp;·&nbsp;vpu〕
𮌙	〔户⺝大&nbsp;·&nbsp;mvmd〕
𮌚	〔月勹&nbsp;·&nbsp;vnaf〕
𮌛	〔厶⺝土山&nbsp;·&nbsp;kvgv〕
𮌜	〔冂人人夊&nbsp;·&nbsp;mjjh〕
𮌝	〔月日勹&nbsp;·&nbsp;vone〕
𮌞	〔月㐅𠂇⺝&nbsp;·&nbsp;vbnv〕
𮌟	〔月立女&nbsp;·&nbsp;vibn〕
𮌠	〔月方人⺀&nbsp;·&nbsp;vljw〕
𮌡	〔月匕⺝&nbsp;·&nbsp;vavv〕
𮌢	〔月勹夕心&nbsp;·&nbsp;vnlh〕
𮌣	〔月广巾&nbsp;·&nbsp;vxbr〕
𮌤	〔月厶大⺗&nbsp;·&nbsp;vkmh〕
𮌥	〔月束丷&nbsp;·&nbsp;vxhb〕
𮌦	〔月一巛巾&nbsp;·&nbsp;vfor〕
𮌧	〔月亻丨矢&nbsp;·&nbsp;vjgo〕
𮌨	〔月夂㐄辶&nbsp;·&nbsp;vhvu〕
𮌩	〔亾口月&nbsp;·&nbsp;fdvu〕
𮌪	〔月夕㐄木&nbsp;·&nbsp;vlve〕
𮌫	〔⺝一&nbsp;·&nbsp;bvfo〕
𮌬	〔丷𢎨口⺝&nbsp;·&nbsp;htdv〕
𮌭	〔⺷灬月&nbsp;·&nbsp;gcvy〕
𮌮	〔月⺷水&nbsp;·&nbsp;vgks〕
𮌯	〔月力力⺝&nbsp;·&nbsp;vssv〕
𮌰	〔月癶示&nbsp;·&nbsp;vhfs〕
𮌱	〔匕⺝八&nbsp;·&nbsp;avvh〕
𮌲	〔月臣又土&nbsp;·&nbsp;vqrg〕
𮌳	〔龶攵月&nbsp;·&nbsp;aphv〕
𮌴	〔月山日匕&nbsp;·&nbsp;vvov〕
𮌵	〔月艹人&nbsp;·&nbsp;vljx〕
𮌶	〔月虍夂几&nbsp;·&nbsp;vzho〕
𮌷	〔月𠂉目&nbsp;·&nbsp;veqe〕
𮌸	〔月户甫&nbsp;·&nbsp;vmnf〕
𮌹	〔月氵刀木&nbsp;·&nbsp;vkpe〕
𮌺	〔月壴口&nbsp;·&nbsp;vhdk〕
𮌻	〔月⻗云&nbsp;·&nbsp;vtby〕
𮌼	〔月龷日攵&nbsp;·&nbsp;vloh〕
𮌽	〔匕⺝口&nbsp;·&nbsp;avvd〕
𮌾	〔广亻寸土&nbsp;·&nbsp;xjkg〕
𮌿	〔弓米弓人&nbsp;·&nbsp;bpbj&nbsp;pbbj〕
𮍀	〔月冖八&nbsp;·&nbsp;vbwh〕
𮍁	〔月十罒衣&nbsp;·&nbsp;vnyt〕
𮍂	〔古月日&nbsp;·&nbsp;cvot〕
𮍃	〔月覀土瓦&nbsp;·&nbsp;vvgr〕
𮍄	〔月臣&nbsp;·&nbsp;vnqc〕
𮍅	〔艹日大⺝&nbsp;·&nbsp;lomv〕
𮍆	〔月艹冂丶&nbsp;·&nbsp;vlmi〕
𮍇	〔月一鹿&nbsp;·&nbsp;vfcx〕
𮍈	〔金辰月&nbsp;·&nbsp;zfvy〕
𮍉	〔冂人人力&nbsp;·&nbsp;mjjs〕
𮍊	〔月立朩見&nbsp;·&nbsp;viee〕
𮍋	〔艹日大⺝&nbsp;·&nbsp;lomv〕
𮍌	〔臣&nbsp;·&nbsp;qc〕
𮍍	〔臣又&nbsp;·&nbsp;qry〕
𮍎	〔𤕫臣&nbsp;·&nbsp;aqc〕
𮍏	〔戊臣&nbsp;·&nbsp;nqc〕
𮍐	〔臣&nbsp;·&nbsp;nqc〕
𮍑	〔臣矢口&nbsp;·&nbsp;qodk〕
𮍒	〔丶冫戊臣&nbsp;·&nbsp;iwnq〕
𮍓	〔臣⺜羽&nbsp;·&nbsp;qozv〕
𮍔	〔自八刀&nbsp;·&nbsp;ohpd〕
𮍕	〔自爪&nbsp;·&nbsp;oya〕
𮍖	〔自厂彡&nbsp;·&nbsp;oxes〕
𮍗	〔自𠂇工&nbsp;·&nbsp;onug〕
𮍘	〔自句&nbsp;·&nbsp;ogj〕
𮍙	〔自亻&nbsp;·&nbsp;ojti〕
𮍚	〔自曰㇂丶&nbsp;·&nbsp;ooai〕
𮍛	〔自冖八口&nbsp;·&nbsp;owhd〕
𮍜	〔自臼儿&nbsp;·&nbsp;oppe〕
𮍝	〔自木臼王&nbsp;·&nbsp;oepn〕
𮍞	〔自自自十&nbsp;·&nbsp;ooon〕
𮍟	〔自爫罒寸&nbsp;·&nbsp;oyyk〕
𮍠	〔至𠂇又丶&nbsp;·&nbsp;ynri〕
𮍡	〔至⺁又&nbsp;·&nbsp;yxry〕
𮍢	〔八夫至&nbsp;·&nbsp;hhyi〕
𮍣	〔至㇏&nbsp;·&nbsp;yaiu〕
𮍤	〔⺽冖冂至&nbsp;·&nbsp;pwmy〕
𮍥	〔𠂉⺽&nbsp;·&nbsp;epj〕
𮍦	〔臼衣&nbsp;·&nbsp;pti〕
𮍧	〔⺽文&nbsp;·&nbsp;pvw〕
𮍨	〔八夫臼&nbsp;·&nbsp;hhpj〕
𮍩	〔一廾臼儿&nbsp;·&nbsp;flpp〕
𮍪	〔臼八王&nbsp;·&nbsp;phnw〕
𮍫	〔夕&nbsp;·&nbsp;plhb〕
𮍬	〔丿冂&nbsp;·&nbsp;ptmh〕
𮍭	〔歹&nbsp;·&nbsp;pghb〕
𮍮	〔水&nbsp;·&nbsp;pkhb〕
𮍯	〔臼丿見&nbsp;·&nbsp;ptej〕
𮍰	〔臼&nbsp;·&nbsp;pphb〕
𮍱	〔米&nbsp;·&nbsp;pphb〕
𮍲	〔⺽冂一刀&nbsp;·&nbsp;pmfp〕
𮍳	〔乂乂女&nbsp;·&nbsp;pbbb〕
𮍴	〔舌一&nbsp;·&nbsp;afpd〕
𮍵	〔舌𠂉乙&nbsp;·&nbsp;aeai〕
𮍶	〔舌亽龴&nbsp;·&nbsp;ajks〕
𮍷	〔舌㇆一口&nbsp;·&nbsp;aafd〕
𮍸	〔人口&nbsp;·&nbsp;jadb〕
𮍹	〔八厂舌&nbsp;·&nbsp;hxva〕
𮍺	〔舌㇗&nbsp;·&nbsp;azha〕
𮍻	〔曰勹亾舌&nbsp;·&nbsp;onfa〕
𮍼	〔舌𠂉日夊&nbsp;·&nbsp;aeoh〕
𮍽	〔舌亠弓&nbsp;·&nbsp;azcb〕
𮍾	〔舌水田&nbsp;·&nbsp;akqt〕
𮍿	〔十日十&nbsp;·&nbsp;nona〕
𮎀	〔舌車十寸&nbsp;·&nbsp;aynk〕
𮎁	〔旡夕㐄&nbsp;·&nbsp;dlvk〕
𮎂	〔言糹糹㐄&nbsp;·&nbsp;siiv〕
𮎃	〔舟冖几&nbsp;·&nbsp;iwoj〕
𮎄	〔舟六&nbsp;·&nbsp;ial〕
𮎅	〔舟尢厶&nbsp;·&nbsp;ioks〕
𮎆	〔舟口又&nbsp;·&nbsp;idry〕
𮎇	〔舟丿丷&nbsp;·&nbsp;ithn〕
𮎈	〔舟一&nbsp;·&nbsp;itfi〕
𮎉	〔舟廿㇗&nbsp;·&nbsp;ilae〕
𮎊	〔舟丿之&nbsp;·&nbsp;itri〕
𮎋	〔舟一白&nbsp;·&nbsp;ifub〕
𮎌	〔舟自&nbsp;·&nbsp;ioi〕
𮎍	〔舟寸&nbsp;·&nbsp;iakc〕
𮎎	〔舟口丿口&nbsp;·&nbsp;idtd〕
𮎏	〔舟口王&nbsp;·&nbsp;idnw〕
𮎐	〔舟谷&nbsp;·&nbsp;ihg〕
𮎑	〔舟宀之&nbsp;·&nbsp;iwri〕
𮎒	〔舟&nbsp;·&nbsp;iihb〕
𮎓	〔舟宀王丶&nbsp;·&nbsp;iwni〕
𮎔	〔舟羊皿&nbsp;·&nbsp;igam〕
𮎕	〔舟宀一貝&nbsp;·&nbsp;iwfo〕
𮎖	〔舟十一大&nbsp;·&nbsp;infm〕
𮎗	〔舟田皿&nbsp;·&nbsp;izqa〕
𮎘	〔丶艮人十&nbsp;·&nbsp;iijn〕
𮎙	〔土艮&nbsp;·&nbsp;ggig〕
𮎚	〔士口古艮&nbsp;·&nbsp;gdci〕
𮎛	〔⺈巳&nbsp;·&nbsp;xvs〕
𮎜	〔𠂉巴&nbsp;·&nbsp;emb〕
𮎝	〔⺈巴几&nbsp;·&nbsp;xmgo〕
𮎞	〔大一白巴&nbsp;·&nbsp;mfum〕
𮎟	〔艹月&nbsp;·&nbsp;lvy〕
𮎠	〔艹勹匕&nbsp;·&nbsp;lnvb〕
𮎡	〔艹亻丁&nbsp;·&nbsp;ljad〕
𮎢	〔艹丩又&nbsp;·&nbsp;liry〕
𮎣	〔艹巴&nbsp;·&nbsp;lmb〕
𮎤	〔艹禸&nbsp;·&nbsp;lvr〕
𮎥	〔艹人工&nbsp;·&nbsp;ljug〕
𮎦	〔艹八大&nbsp;·&nbsp;lhmd〕
𮎧	〔䒑大&nbsp;·&nbsp;hmmd〕
𮎨	〔艹大巳&nbsp;·&nbsp;lmvs〕
𮎩	〔艹一白&nbsp;·&nbsp;lfub〕
𮎪	〔艹夫八&nbsp;·&nbsp;lhhb〕
𮎫	〔艹一口&nbsp;·&nbsp;lfdb〕
𮎬	〔艹⺁&nbsp;·&nbsp;lxti〕
𮎭	〔艹月又&nbsp;·&nbsp;lvry〕
𮎮	〔艹儿冫&nbsp;·&nbsp;lpww〕
𮎯	〔艹勹人人&nbsp;·&nbsp;lnjj〕
𮎰	〔艹亾&nbsp;·&nbsp;lfoc〕
𮎱	〔艹亻&nbsp;·&nbsp;ljti〕
𮎲	〔艹白乚&nbsp;·&nbsp;luae〕
𮎳	〔艹口丨㇆&nbsp;·&nbsp;ldga〕
𮎴	〔艹九日&nbsp;·&nbsp;lkor〕
𮎵	〔艹㇗丶王&nbsp;·&nbsp;lain〕
𮎶	〔艹广千&nbsp;·&nbsp;lxlq〕
𮎷	〔艹水㇗二&nbsp;·&nbsp;lkam〕
𮎸	〔艹宀千&nbsp;·&nbsp;lwlq〕
𮎹	〔龷口土&nbsp;·&nbsp;ldgt〕
𮎺	〔艹口王&nbsp;·&nbsp;ldnw〕
